name	layer	status	job	aliases
hourly-deal-reply-watch	task	UNCONFIRMED	Hourly inbox sweep; hands off to the Filmar skills and triggers the reconcile pass	
command-center	surface	UNCONFIRMED	Dashboard surface consuming the hot-email feed and daily session output	Command Center
daily-standup-0738	task	UNCONFIRMED	Morning standup; plan-my-day consumes its output and must not re-run it	7:38 standup
daily-market-session-0703	task	UNCONFIRMED	Daily market read; also owns held-position stop/exit review	7:03 Daily Market Session;daily-market-session
daily-sales-session-0908	task	UNCONFIRMED	Builds the ranked selling worklist	9:08 Daily Sales Session
friday-work-week-planning	task	UNCONFIRMED	Weekly-horizon planning; distinct from plan-my-day	Friday Work-Week Planning
monday-fleet-audit	task	UNCONFIRMED	Full fleet audit; error-scan defers to it	Monday audit;the Monday audit
monday-filmar-gdr-strategy	task	UNCONFIRMED	Weekly chain-health thinking; leverage-audit defers to it	Monday Filmar/GDR strategy session
scheduled-task-rotation-review	task	UNCONFIRMED	Automated weekly finder across the task fleet	
reply-module	UNKNOWN	UNCONFIRMED	Owns drafting and sending replies; may be filmar-draft-reply under another name	reply module
production-calendar	skill	NOT-BUILT	Plans and sequences the production calendar; filmar-sop excludes it by name	
build_spec_sheet.py	script	UNCONFIRMED	Renders the spec-sheet PDF	
spec_library_inbox	datastore	UNCONFIRMED	Where filmar-configurator files spec gaps	
engineered-drawing-track	process	PARKED	Stage-2 pricing for engineered customs with no reusable spec	
